block,model,expr,depth,nodes,gates,n_parameters,N_T,parameters,train_chi2,valid_chi2,all_chi2,train_wmse,valid_wmse,AIC_train,BIC_train,search_score,DeltaScore_from_best,DeltaAIC_from_best,DeltaBIC_from_best
RhoA perturbation; Cdc42 response,EML_expr,(G(G(R))+R),2,5,2,9,91,y0=1.1675554; B=2.2131543; k=0.28834933; a1=118.0006; b1=3.9233224; c1=0.34128939; a2=937.06106; b2=4.5650112; c2=0.0014635279,34.7130568273057,14.227221263098059,48.94027809040376,0.38146216293742524,0.4742407087699353,-69.70066877341519,-47.10293321476354,0.4742407087699353,0.39685603092198607,129.95123054485396,129.95123054485396
RhoA perturbation; Cdc42 response,EML_expr,(G(R)+R),1,4,1,6,91,y0=1.1675542; B=-14.288627; k=0.28834953; a1=936.56866; b1=3.9289577; c1=0.00093181908,34.71306208499254,14.227229121795117,48.94029120678766,0.38146222071420377,0.4742409707265039,-75.70065499043234,-60.635497951331246,0.4742409707265039,0.3968562928785546,123.95124432783682,116.41866580828625
RhoA perturbation; Cdc42 response,EML_expr,G((R+R)),1,4,1,6,91,y0=2.5966939; B=-0.062445497; k=0.11921278; a1=9.9731182; b1=500; c1=3.0785802e-28,133.98344971455015,39.04382673170551,173.02727644625566,1.4723456012587928,1.3014608910568504,47.20396663540248,62.269123674503575,1.3014608910568504,1.2240762132089011,246.85586595367164,239.32328743412108
RhoA perturbation; Cdc42 response,EML_expr,((R+R)+R),0,5,0,3,91,y0=-0.046758559; B=5.8176449; k=2.5095447,2127.483593193455,681.2043103979707,2808.6879035914258,23.37894058454346,22.706810346599024,292.817043433237,300.3496219527876,22.706810346599024,22.629425668751075,492.4689427515062,477.40378571240507
RhoA perturbation; Cdc42 response,EML_expr,(R+R),0,3,0,3,91,y0=-0.046756629; B=8.7264667; k=2.509529,2127.483593219275,681.2043115211922,2808.6879047404673,23.3789405848272,22.706810384039738,292.81704343434143,300.349621953892,22.706810384039738,22.62942570619179,492.4689427526106,477.4037857135095
RhoA perturbation; Cdc42 response,EML_expr,R,0,1,0,3,91,y0=-0.046756257; B=17.452935; k=2.5094928,2127.4835932834626,681.2043138471784,2808.6879071306407,23.378940585532558,22.706810461572612,292.81704343708697,300.3496219566375,22.706810461572612,22.629425783724663,492.4689427553561,477.403785716255
RhoA perturbation; Cdc42 response,linear_R,R,0,1,0,3,91,y0=-0.046754789; B=17.452934; k=2.5094834,2127.483593301253,681.20431454472,2808.687907845973,23.378940585728056,22.706810484824,292.81704343784793,300.3496219573985,22.706810484824,22.62942580697605,492.4689427561171,477.403785717016
RhoA perturbation; Cdc42 response,hill,R^h/(K^h+R^h),0,1,0,5,91,y0=-0.027800076; B=1157.5293; K=1.2790668; h=16.983693; k=5.9711328,2126.3795608537353,703.4905762090965,2829.870137062832,23.366808361030056,23.44968587363655,296.76980780692185,309.3241053395061,23.44968587363655,23.3723011957886,496.421707125191,486.3782690991236
RhoA perturbation; Rac1 response,EML_expr,G((G(R)+R)),2,5,2,9,91,y0=-0.94971878; B=54.501194; k=0.18821132; a1=0.48070113; b1=0.28945749; c1=1.4905182e-10; a2=36.949864; b2=0.12914233; c2=0.06318187,19.21055603035699,7.003191313667645,26.213747344024636,0.21110501132260429,0.23343971045558817,-123.5413622637823,-100.94362670513065,0.23343971045558817,0.0,0.0,0.0
RhoA perturbation; Rac1 response,double_hill,(H(R)+H(R)),1,3,0,8,91,y0=-0.85316037; k=0.090499111; B1=382.6485; K1=100; h1=0.42491835; B2=-47.404559; K2=0.89889495; h2=26.284148,21.914556007374085,8.109684623850356,30.024240631224444,0.2408192967843306,0.27032282079501185,-113.55746736756899,-93.47059131543419,0.27032282079501185,0.03688311033942368,9.983894896213314,7.473035389696463
RhoA perturbation; Rac1 response,EML_expr,G(G(R)),2,3,2,9,91,y0=-0.74429234; B=-14.162654; k=0.21272417; a1=336.847; b1=3.5083401; c1=0.16151925; a2=0.59207425; b2=0.15853146; c2=1.2818687e-08,30.84078826992451,12.246683578497082,43.08747184842159,0.3389097612079616,0.40822278594990274,-80.46394723290491,-57.866211674253265,0.40822278594990274,0.17478307549431457,43.07741503087739,43.07741503087739
RhoA perturbation; Rac1 response,EML_expr,G(G((R+R))),2,5,2,9,91,y0=-0.53911548; B=-3.5897316; k=0.19367075; a1=179.21111; b1=11.636463; c1=2.9943266e-07; a2=0.68297377; b2=0.29596543; c2=3.0461576e-34,32.88295515737464,13.463931778792428,46.34688693616706,0.3613511555755455,0.4487977259597476,-74.62936076198021,-52.03162520332856,0.4487977259597476,0.21535801550415942,48.912001501802095,48.912001501802095
RhoA perturbation; Rac1 response,EML_expr,G(G(G(R))),3,4,3,12,91,y0=-0.3635988; B=-4054.3765; k=0.28378549; a1=1.0014353; b1=1.0044033; c1=4.546346e-34; a2=0.81298112; b2=1.0356154; c2=5.2631893; a3=686.80486; b3=8.2080702; c3=0.0030213334,28.586587957679132,15.21776411445438,43.80435207213351,0.3141383292052652,0.507258803815146,-81.37088846032574,-51.24057438212355,0.507258803815146,0.2738190933595578,42.17047380345656,49.70305232300711
RhoA perturbation; Rac1 response,EML_expr,(G(R)+G(R)),1,5,2,9,91,y0=0.33117392; B=-37.806145; k=0.23532971; a1=247.4372; b1=1.0137052; c1=2.8145312e-36; a2=1.467048; b2=1.0665806; c2=3.8255409e-34,40.48140019888514,18.83666348141429,59.318063680299424,0.44485055163610043,0.6278887827138097,-55.71153719406284,-33.11380163541119,0.6278887827138097,0.39444907225822146,67.82982506971946,67.82982506971946
RhoA perturbation; Rac1 response,EML_expr,(G(G(R))+R),2,5,2,9,91,y0=1.3727754; B=11.176202; k=0.26322777; a1=296.11102; b1=3.4065627; c1=0.60110453; a2=459.07201; b2=0.7780977; c2=3.9759897e-09,52.43971591873996,22.0937405256877,74.53345644442766,0.5762606144916479,0.7364580175229233,-32.15876910579095,-9.561033547139303,0.7364580175229233,0.5030183070673351,91.38259315799135,91.38259315799135
RhoA perturbation; Rac1 response,EML_expr,(G(R)+R),1,4,1,6,91,y0=1.3727504; B=-21.401216; k=0.26322984; a1=459.67206; b1=2.9064449; c1=0.0012539446,52.439723056411964,22.093809696867535,74.5335327532795,0.576260692927604,0.7364603232289179,-38.15875671960433,-23.093599680503228,0.7364603232289179,0.5030206127733297,85.38260554417798,77.85002702462742
RhoA perturbation; Rac1 response,EML_expr,G(R),1,2,1,6,91,y0=1.3727515; B=-22.478252; k=0.2632303; a1=459.62967; b1=1.8150959; c1=0.0011471031,52.439722451420224,22.09383217767904,74.53355462909926,0.5762606862793431,0.7364610725893014,-38.158757769462056,-23.093600730360958,0.7364610725893014,0.5030213621337132,85.38260449432025,77.8500259747697
RhoA perturbation; Rac1 response,EML_expr,G((R+R)),1,4,1,6,91,y0=2.6724289; B=-0.059394412; k=0.11783951; a1=10.091333; b1=500; c1=1.075971e-29,93.61188238545634,30.895349811676528,124.50723219713286,1.028702004235784,1.029844993722551,14.575101389949923,29.640258429051023,1.029844993722551,0.7964052832669627,138.11646365373224,130.58388513418168
RhoA perturbation; Rac1 response,EML_expr,R,0,1,0,3,91,y0=-0.99315129; B=13.453562; k=43.531067,1355.674091664051,430.62179553644563,1786.2958872004967,14.897517490813748,14.354059851214855,251.80870748210302,259.34128600165354,14.354059851214855,14.120620140759266,375.3500697458853,360.2849127067842
RhoA perturbation; Rac1 response,hill,R^h/(K^h+R^h),0,1,0,5,91,y0=-0.99315059; B=14.600816; K=0.31529671; h=2.1328922; k=38.446744,1355.6740916640651,430.62179568319,1786.2958873472553,14.897517490813902,14.354059856106334,255.80870748210396,268.3630050146882,14.354059856106334,14.120620145650745,379.35006974588623,369.3066317198189
RhoA perturbation; Rac1 response,EML_expr,((R+R)+R),0,5,0,3,91,y0=-0.99315183; B=4.484521; k=37.180112,1355.6740916642875,430.62181605517185,1786.2959077194596,14.897517490816346,14.354060535172396,251.8087074821189,259.34128600166946,14.354060535172396,14.120620824716807,375.35006974590124,360.2849127068001
RhoA perturbation; Rac1 response,EML_expr,(R+R),0,3,0,3,91,y0=-0.99315162; B=6.7267814; k=36.734111,1355.6740916643707,430.6218198074429,1786.2959114718135,14.897517490817261,14.354060660248097,251.80870748212448,259.34128600167503,14.354060660248097,14.120620949792508,375.3500697459068,360.2849127068057
RhoA perturbation; Rac1 response,linear_R,R,0,1,0,3,91,y0=-0.9931525; B=13.453564; k=26.073496,1355.6740920583327,430.62273396946546,1786.296826027798,14.897517495146513,14.354091132315515,251.80870750856928,259.34128602811984,14.354091132315515,14.120651421859927,375.3500697723516,360.2849127332505
